Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Round,Round id,Segment,Accuracy source,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Manifest rows,Communication round
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,15,14,2,round_config,round config,Committed partial,26.82530416677182,0.0,1,11,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,16,15,2,round_config,round config,Committed partial,27.18347919207519,0.0,1,11,16
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,17,16,2,round_config,round config,Committed partial,29.57451375589096,0.0,1,11,17
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,18,17,2,round_config,round config,Committed partial,27.66122811145888,0.0,1,11,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,19,18,2,round_config,round config,Committed partial,28.46285339393842,0.0,1,11,19
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,20,19,2,round_config,round config,Committed partial,29.959451372172413,0.0,1,11,20
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,1,0,1,round_config,round config,Committed partial,18.05073707158839,0.0,1,6,1
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,2,1,1,round_config,round config,Committed partial,26.453769548503974,0.0,1,6,2
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,3,2,1,round_config,round config,Committed partial,27.100450400043783,0.0,1,6,3
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,4,3,1,round_config,round config,Committed partial,28.75589222750327,0.0,1,6,4
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,5,4,1,round_config,round config,Committed partial,27.195152836814675,0.0,1,6,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,6,5,1,round_config,round config,Committed partial,26.943721185285174,0.0,1,6,6
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,7,6,1,round_config,round config,Committed partial,27.991509371622897,0.0,1,6,7
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,8,7,1,round_config,round config,Committed partial,29.71262836691527,0.0,1,6,8
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,9,8,1,round_config,round config,Committed partial,29.467365282520795,0.0,1,6,9
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,10,9,1,round_config,round config,Committed partial,29.84285954606591,0.0,1,6,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,1,0,1,round_config,round config,Committed partial,18.78559356642299,0.0,1,12,1
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,2,1,1,round_config,round config,Committed partial,16.158163303287587,0.0,1,12,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,3,2,1,round_config,round config,Committed partial,16.799322671993245,0.0,1,12,3
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,4,3,1,round_config,round config,Committed partial,20.341097187781426,0.0,1,12,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,5,4,1,round_config,round config,Committed partial,22.70489854253341,0.0,1,12,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,6,5,1,round_config,round config,Committed partial,24.264760439531614,0.0,1,12,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,7,6,1,round_config,round config,Committed partial,25.451599068300485,0.0,1,12,7
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,8,7,1,round_config,round config,Committed partial,26.13567951838055,0.0,1,12,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,9,8,1,round_config,round config,Committed partial,25.72462315710693,0.0,1,12,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,20,20,10,9,1,round_config,round config,Committed partial,26.25007375128135,0.0,1,12,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,1,0,1,round_config,round config,Committed partial,28.37831697733891,0.0,1,1,1
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,2,1,1,round_config,round config,Committed partial,26.135418412495486,0.0,1,1,2
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,3,2,1,round_config,round config,Committed partial,26.284512378015606,0.0,1,1,3
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,4,3,1,round_config,round config,Committed partial,26.046391905803794,0.0,1,1,4
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,5,4,1,round_config,round config,Committed partial,27.701123381479174,0.0,1,1,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,6,5,1,round_config,round config,Committed partial,28.052387760822644,0.0,1,1,6
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,7,6,1,round_config,round config,Committed partial,26.615597108830503,0.0,1,1,7
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,8,7,1,round_config,round config,Committed partial,28.424941333379667,0.0,1,1,8
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,9,8,1,round_config,round config,Committed partial,28.320495775017303,0.0,1,1,9
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,10,9,1,round_config,round config,Committed partial,25.966127249423497,0.0,1,1,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,11,10,2,round_config,round config,Committed partial,28.35550475552113,0.0,1,1,11
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,12,11,2,round_config,round config,Committed partial,26.93443226926906,0.0,1,1,12
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,3,3,13,12,2,round_config,round config,Committed partial,27.74545521894861,0.0,1,1,13
