Manifest row,Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Client count,Client count label,Run dir,Score path,Stdout path,Observed rounds,Complete run,Result source,Run status,Committed rounds,Latest segment,Round,Round id,Segment,Accuracy,Accuracy source,Segment artifact path
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,5,4,1,29.01666299099295,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/4/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,6,5,1,28.35526962569212,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/5/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,7,6,1,28.169710800875507,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/6/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,8,7,1,29.592927995164093,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/7/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,9,8,1,30.00833872105971,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/8/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,10,9,1,30.8855251632871,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/9/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,11,10,2,31.525850829924597,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/10/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,12,11,2,29.880067031144147,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/11/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,13,12,2,29.804733098647045,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/12/round_config.json
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2,14,13,2,30.896372858394137,round_config,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/13/round_config.json
