Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Plateau round,Plateau accuracy,Best round,Best accuracy,Best compute cost,Final round,Final accuracy,Post-peak degradation,Worst later degradation,Later rounds hurt > tolerance,Max round observed,Seed count,Seeds
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,1,40.935502578760016,1,40.935502578760016,5,10,34.295502689327115,6.6399998894329,7.878912135842079,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,8,41.21052693114394,9,41.676938523093256,9,10,41.082273143940945,0.5946653791523104,0.5946653791523104,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,1,42.01573477140562,1,42.01573477140562,2,10,38.23875488117675,3.7769798902288656,3.7769798902288656,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,3,1,40.568602426281096,1,40.568602426281096,3,10,34.673016756735734,5.895585669545362,5.895585669545362,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,5,1,37.08505278001363,1,37.08505278001363,5,10,33.35027522302321,3.734777556990423,4.339184332901361,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,1,2,39.5209180115286,9,39.57066489217925,9,10,38.919691625305305,0.6509732668739474,0.6509732668739474,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,2,43.750394462293066,2,43.750394462293066,4,10,40.838792212957806,2.9116022493352602,2.9116022493352602,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,1,45.377494561705326,1,45.377494561705326,3,10,36.89003846809176,8.487456093613567,10.279089291766219,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,5,1,42.333528348367786,1,42.333528348367786,5,10,31.672138300711016,10.66139004765677,10.66139004765677,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,1,10,41.169770338361936,10,41.169770338361936,10,10,41.169770338361936,0.0,0.0,False,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,3,42.88281806146077,3,42.88281806146077,6,10,40.72181285167423,2.1610052097865378,2.61327555269164,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,1,41.79641809118881,1,41.79641809118881,3,10,34.428159868390814,7.368258222797998,7.393674468382834,True,10,1,0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,5,2,36.16460169460753,2,36.16460169460753,10,10,31.291276784328442,4.873324910279091,4.873324910279091,True,10,1,0
