Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Accuracy,Previous round,Previous accuracy,Marginal accuracy gain,Compute cost
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,6,27.633404896184246,5,27.398392328683464,0.2350125675007817,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,7,28.031812629481596,6,27.633404896184246,0.3984077332973506,7
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,8,28.54904089489799,7,28.031812629481596,0.5172282654163922,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,9,28.342641670473263,8,28.54904089489799,-0.20639922442472525,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,10,27.679297499751975,9,28.342641670473263,-0.6633441707212882,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,2,25.18449874691195,1,18.553322360446,6.631176386465949,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,3,27.562321549027182,2,25.18449874691195,2.377822802115233,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,4,29.31128088622011,3,27.562321549027182,1.7489593371929288,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,5,28.246556852905506,4,29.31128088622011,-1.0647240333146044,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,6,28.313626451769565,5,28.246556852905506,0.06706959886405883,12
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,7,27.941164570690226,6,28.313626451769565,-0.37246188107933875,14
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,8,28.63864398461031,7,27.941164570690226,0.6974794139200853,16
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,9,29.548327991430938,8,28.63864398461031,0.9096840068206262,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,10,29.76382677072457,9,29.548327991430938,0.21549877929363248,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,2,28.433601903706464,1,19.4513250965125,8.982276807193962,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,3,28.665720056896998,2,28.433601903706464,0.23211815319053386,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,4,28.34582889491508,3,28.665720056896998,-0.3198911619819178,12
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,5,28.955224083372922,4,28.34582889491508,0.6093951884578424,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,6,29.23599899447004,5,28.955224083372922,0.2807749110971187,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,7,30.616932937943336,6,29.23599899447004,1.3809339434732948,21
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,8,30.318378997843563,7,30.616932937943336,-0.2985539400997723,24
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,9,29.785414210681736,8,30.318378997843563,-0.532964787161827,27
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,10,31.264767281439244,9,29.785414210681736,1.479353070757508,30
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,2,29.112118054819515,1,25.99927769828887,3.1128403565306435,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,3,27.405114158158657,2,29.112118054819515,-1.7070038966608578,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,4,29.15360801986018,3,27.405114158158657,1.7484938617015224,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,5,28.797494836034467,4,29.15360801986018,-0.35611318382571255,25
