Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Run dir,Score path,Observed rounds,Complete run,Result source,Run status,Round,Accuracy
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,4,28.877256453171864
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,5,26.885019072905504
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,6,27.388338993844048
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,7,27.296017441365
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,8,26.85146257211699
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,9,29.04854503416771
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e5-r10/seed0/10/log.txt,10,True,score log,Complete,10,26.78360241577812
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,1,16.29809090056982
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,2,18.70351899465648
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,3,23.863084377707665
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,4,25.41641902026876
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,5,27.537301801330944
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,6,29.293624081751457
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,7,28.860155876374566
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,8,27.657774500786342
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete,9,28.501847165791066
