Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,4,score log,Complete,29.321431473859043,0.0,1,0,10,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,5,score log,Complete,28.97318645408597,0.0,1,0,10,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,6,score log,Complete,28.9555045369498,0.0,1,0,10,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,7,score log,Complete,29.560024286637205,0.0,1,0,10,21
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,8,score log,Complete,29.159106606085818,0.0,1,0,10,24
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,9,score log,Complete,29.073572801431226,0.0,1,0,10,27
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,10,score log,Complete,29.449209296555324,0.0,1,0,10,30
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,1,score log,Complete,24.30039362524154,0.0,1,0,10,5
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,2,score log,Complete,28.9713980350406,0.0,1,0,10,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,3,score log,Complete,26.995290869112516,0.0,1,0,10,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,4,score log,Complete,29.816646030836875,0.0,1,0,10,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,5,score log,Complete,30.348877311446838,0.0,1,0,10,25
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,6,score log,Complete,29.726256956474035,0.0,1,0,10,30
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,7,score log,Complete,30.873034360682343,0.0,1,0,10,35
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,8,score log,Complete,29.476836870750837,0.0,1,0,10,40
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,9,score log,Complete,28.960025220258682,0.0,1,0,10,45
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,10,score log,Complete,29.18985189165965,0.0,1,0,10,50
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,1,score log,Complete,24.380947549324038,0.0,1,0,10,1
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,2,score log,Complete,27.637384909655573,0.0,1,0,10,2
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,3,score log,Complete,27.158977652027627,0.0,1,0,10,3
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,4,score log,Complete,26.308994304282944,0.0,1,0,10,4
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,5,score log,Complete,27.022525222768266,0.0,1,0,10,5
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,6,score log,Complete,27.709217262599257,0.0,1,0,10,6
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,7,score log,Complete,26.538921968040853,0.0,1,0,10,7
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,8,score log,Complete,28.368719626339562,0.0,1,0,10,8
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,9,score log,Complete,27.943582137529443,0.0,1,0,10,9
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,score log,Complete,27.135806539974773,0.0,1,0,10,10
