Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Round,Oracle epochs,Oracle accuracy,Smoothed epochs,Smoothed accuracy,Oracle gain over current epoch,Meaningful switch,Switch threshold,Compute cost
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,7,3,30.72401022506444,3,30.72401022506444,0.0,False,0.5,21
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,8,1,30.735799074133542,1,30.735799074133542,0.8928616749605212,True,0.5,8
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,9,2,31.546275223403324,2,31.546275223403324,1.8801299945890833,True,0.5,18
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,10,3,30.551818057653595,2,30.477971490093424,0.07384656756017094,False,0.5,20
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,2,29.38020421842083,2,29.38020421842083,0.0,False,0.5,2
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,3,29.239962529536236,2,29.093940332709405,0.1460221968268307,False,0.5,4
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,3,29.422202458681294,3,29.422202458681294,1.696967914102114,True,0.5,9
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,4,3,28.342653928096663,3,28.342653928096663,0.0,False,0.5,12
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,2,29.95713368479402,2,29.95713368479402,1.4840069036783703,True,0.5,10
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,6,2,29.33993454320025,2,29.33993454320025,0.0,False,0.5,12
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,7,2,29.604089890723916,2,29.604089890723916,0.0,False,0.5,14
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,8,2,29.747797875067693,2,29.747797875067693,0.0,False,0.5,16
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,9,3,28.121018206736824,2,27.632280169050773,0.4887380376860513,False,0.5,18
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,10,2,28.834408267833282,2,28.834408267833282,0.0,False,0.5,20
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,2,27.983047872846882,2,27.983047872846882,0.0,False,0.5,2
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,31.028687165879365,3,31.028687165879365,2.7728545985281308,True,0.5,6
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,3,28.848531127361767,3,28.848531127361767,0.0,False,0.5,9
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,4,5,28.21303399309617,5,28.21303399309617,0.6202776825441028,True,0.5,20
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,2,30.53585210089038,2,30.53585210089038,1.1570089942309671,True,0.5,10
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,6,5,29.216810949450707,2,29.203063953326964,0.01374699612374286,False,0.5,12
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,7,2,29.458413348457814,2,29.458413348457814,0.0,False,0.5,14
