Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,50,score log,Complete,55.5956678700361,0.0,1,0,80,50
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,51,score log,Complete,54.87364620938629,0.0,1,0,80,51
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,52,score log,Complete,55.23465703971119,0.0,1,0,80,52
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,53,score log,Complete,54.151624548736464,0.0,1,0,80,53
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,54,score log,Complete,54.51263537906137,0.0,1,0,80,54
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,55,score log,Complete,54.51263537906137,0.0,1,0,80,55
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,56,score log,Complete,54.151624548736464,0.0,1,0,80,56
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,57,score log,Complete,54.51263537906137,0.0,1,0,80,57
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,58,score log,Complete,54.51263537906137,0.0,1,0,80,58
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,59,score log,Complete,54.87364620938629,0.0,1,0,80,59
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,60,score log,Complete,54.87364620938629,0.0,1,0,80,60
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,61,score log,Complete,54.87364620938629,0.0,1,0,80,61
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,62,score log,Complete,55.5956678700361,0.0,1,0,80,62
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,63,score log,Complete,55.5956678700361,0.0,1,0,80,63
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,64,score log,Complete,54.87364620938629,0.0,1,0,80,64
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,65,score log,Complete,54.87364620938629,0.0,1,0,80,65
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,66,score log,Complete,56.678700361010826,0.0,1,0,80,66
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,67,score log,Complete,56.678700361010826,0.0,1,0,80,67
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,68,score log,Complete,57.03971119133574,0.0,1,0,80,68
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,69,score log,Complete,56.678700361010826,0.0,1,0,80,69
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,70,score log,Complete,56.317689530685925,0.0,1,0,80,70
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,71,score log,Complete,56.317689530685925,0.0,1,0,80,71
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,72,score log,Complete,55.95667870036101,0.0,1,0,80,72
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,73,score log,Complete,55.5956678700361,0.0,1,0,80,73
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,74,score log,Complete,55.95667870036101,0.0,1,0,80,74
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,75,score log,Complete,55.95667870036101,0.0,1,0,80,75
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,76,score log,Complete,55.5956678700361,0.0,1,0,80,76
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,77,score log,Complete,55.95667870036101,0.0,1,0,80,77
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,78,score log,Complete,55.5956678700361,0.0,1,0,80,78
