Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Accuracy,Previous round,Previous accuracy,Marginal accuracy gain,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,5,56.317689530685925,4,56.317689530685925,0.0,40
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,6,56.678700361010826,5,56.317689530685925,0.36101083032490067,48
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,7,57.03971119133574,6,56.678700361010826,0.3610108303249149,56
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,8,57.761732851985556,7,57.03971119133574,0.7220216606498155,64
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,9,57.03971119133574,8,57.761732851985556,-0.7220216606498155,72
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,10,56.678700361010826,9,57.03971119133574,-0.3610108303249149,80
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,2,53.068592057761734,1,47.292418772563174,5.77617328519856,2
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,3,48.014440433213,2,53.068592057761734,-5.054151624548737,3
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,4,56.678700361010826,3,48.014440433213,8.66425992779783,4
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,5,51.985559566786996,4,56.678700361010826,-4.6931407942238295,5
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,6,55.5956678700361,5,51.985559566786996,3.610108303249106,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,7,53.068592057761734,6,55.5956678700361,-2.5270758122743686,7
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,8,54.51263537906137,7,53.068592057761734,1.4440433212996382,8
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,9,54.151624548736464,8,54.51263537906137,-0.36101083032490777,9
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,54.87364620938629,9,54.151624548736464,0.7220216606498226,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,2,53.068592057761734,1,53.42960288808665,-0.3610108303249149,4
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,3,56.678700361010826,2,53.068592057761734,3.610108303249092,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,4,58.12274368231047,3,56.678700361010826,1.4440433212996453,8
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,5,54.87364620938629,4,58.12274368231047,-3.249097472924184,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,6,55.23465703971119,5,54.87364620938629,0.36101083032490067,12
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,7,55.23465703971119,6,55.23465703971119,0.0,14
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,8,53.79061371841155,7,55.23465703971119,-1.4440433212996382,16
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,9,55.23465703971119,8,53.79061371841155,1.4440433212996382,18
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,55.23465703971119,9,55.23465703971119,0.0,20
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,2,56.678700361010826,1,52.707581227436826,3.9711191335739997,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,3,56.678700361010826,2,56.678700361010826,0.0,9
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,4,55.5956678700361,3,56.678700361010826,-1.0830324909747233,12
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,5,54.51263537906137,4,55.5956678700361,-1.0830324909747304,15
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,6,55.95667870036101,5,54.51263537906137,1.4440433212996382,18
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,7,55.5956678700361,6,55.95667870036101,-0.36101083032490777,21
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,8,55.5956678700361,7,55.5956678700361,0.0,24
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,9,53.068592057761734,8,55.5956678700361,-2.5270758122743686,27
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,53.068592057761734,9,53.068592057761734,0.0,30
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,2,57.03971119133574,1,57.03971119133574,0.0,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,3,56.678700361010826,2,57.03971119133574,-0.3610108303249149,15
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,4,57.761732851985556,3,56.678700361010826,1.0830324909747304,20
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,5,55.95667870036101,4,57.761732851985556,-1.805054151624546,25
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,6,56.317689530685925,5,55.95667870036101,0.3610108303249149,30
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,7,58.48375451263538,6,56.317689530685925,2.1660649819494537,35
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,8,57.03971119133574,7,58.48375451263538,-1.4440433212996382,40
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,9,57.400722021660656,8,57.03971119133574,0.3610108303249149,45
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,58.12274368231047,9,57.400722021660656,0.7220216606498155,50
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,2,58.48375451263538,1,57.03971119133574,1.4440433212996382,16
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,3,57.400722021660656,2,58.48375451263538,-1.0830324909747233,24
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,4,57.761732851985556,3,57.400722021660656,0.36101083032490067,32
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,5,58.12274368231047,4,57.761732851985556,0.3610108303249149,40
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,6,58.12274368231047,5,58.12274368231047,0.0,48
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,7,58.844765342960294,6,58.12274368231047,0.7220216606498226,56
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,8,58.844765342960294,7,58.844765342960294,0.0,64
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,9,58.844765342960294,8,58.844765342960294,0.0,72
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,60.64981949458483,9,58.844765342960294,1.8050541516245389,80
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,2,52.707581227436826,1,47.292418772563174,5.415162454873652,2
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,3,46.931407942238266,2,52.707581227436826,-5.77617328519856,3
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,4,54.51263537906137,3,46.931407942238266,7.581227436823106,4
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,5,51.26353790613718,4,54.51263537906137,-3.2490974729241913,5
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,6,54.51263537906137,5,51.26353790613718,3.2490974729241913,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,7,52.707581227436826,6,54.51263537906137,-1.805054151624546,7
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,8,53.42960288808665,7,52.707581227436826,0.7220216606498226,8
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,9,53.068592057761734,8,53.42960288808665,-0.3610108303249149,9
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,53.79061371841155,9,53.068592057761734,0.7220216606498155,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,2,51.985559566786996,1,53.068592057761734,-1.0830324909747375,4
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,3,55.95667870036101,2,51.985559566786996,3.971119133574014,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,4,56.317689530685925,3,55.95667870036101,0.3610108303249149,8
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,5,57.03971119133574,4,56.317689530685925,0.7220216606498155,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,6,54.87364620938629,5,57.03971119133574,-2.1660649819494537,12
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,7,54.87364620938629,6,54.87364620938629,0.0,14
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,8,55.95667870036101,7,54.87364620938629,1.0830324909747233,16
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,9,55.5956678700361,8,55.95667870036101,-0.36101083032490777,18
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,57.03971119133574,9,55.5956678700361,1.4440433212996382,20
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,2,55.95667870036101,1,53.068592057761734,2.8880866425992764,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,3,55.95667870036101,2,55.95667870036101,0.0,9
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,4,53.79061371841155,3,55.95667870036101,-2.166064981949461,12
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,5,54.151624548736464,4,53.79061371841155,0.3610108303249149,15
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,6,53.42960288808665,5,54.151624548736464,-0.7220216606498155,18
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,7,54.151624548736464,6,53.42960288808665,0.7220216606498155,21
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,8,54.87364620938629,7,54.151624548736464,0.7220216606498226,24
