Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,6,score log,Complete,55.5956678700361,0.0,1,0,10,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,7,score log,Complete,53.068592057761734,0.0,1,0,10,7
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,8,score log,Complete,54.51263537906137,0.0,1,0,10,8
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,9,score log,Complete,54.151624548736464,0.0,1,0,10,9
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,score log,Complete,54.87364620938629,0.0,1,0,10,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,1,score log,Complete,53.42960288808665,0.0,1,0,10,2
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,2,score log,Complete,53.068592057761734,0.0,1,0,10,4
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,3,score log,Complete,56.678700361010826,0.0,1,0,10,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,4,score log,Complete,58.12274368231047,0.0,1,0,10,8
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,5,score log,Complete,54.87364620938629,0.0,1,0,10,10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,6,score log,Complete,55.23465703971119,0.0,1,0,10,12
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,7,score log,Complete,55.23465703971119,0.0,1,0,10,14
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,8,score log,Complete,53.79061371841155,0.0,1,0,10,16
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,9,score log,Complete,55.23465703971119,0.0,1,0,10,18
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,score log,Complete,55.23465703971119,0.0,1,0,10,20
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,1,score log,Complete,52.707581227436826,0.0,1,0,10,3
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,2,score log,Complete,56.678700361010826,0.0,1,0,10,6
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,3,score log,Complete,56.678700361010826,0.0,1,0,10,9
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,4,score log,Complete,55.5956678700361,0.0,1,0,10,12
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,5,score log,Complete,54.51263537906137,0.0,1,0,10,15
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,6,score log,Complete,55.95667870036101,0.0,1,0,10,18
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,7,score log,Complete,55.5956678700361,0.0,1,0,10,21
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,8,score log,Complete,55.5956678700361,0.0,1,0,10,24
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,9,score log,Complete,53.068592057761734,0.0,1,0,10,27
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,score log,Complete,53.068592057761734,0.0,1,0,10,30
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,1,score log,Complete,57.03971119133574,0.0,1,0,10,5
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,2,score log,Complete,57.03971119133574,0.0,1,0,10,10
