Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,5,57.400722021660656,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,6,57.400722021660656,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,7,57.400722021660656,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,8,56.678700361010826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,9,57.03971119133574,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,10,56.678700361010826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,1,47.292418772563174,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,2,53.068592057761734,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,3,46.20938628158845,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,4,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,5,50.54151624548736,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,6,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,7,51.624548736462096,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,8,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,9,51.624548736462096,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,10,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,0,1,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,0,2,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,0,3,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10/seed0/10/log.txt,10,True,score log,Complete
